"","KRAB.Day5.1","KRAB.Day5.2","KRAB.Day5.3","KRAB.Day7.1","KRAB.Day7.2","KRAB.Day7.3","KRAB.Day14.1","KRAB.Day14.2","KRAB.Day14.3","KRAB.Day21.1","KRAB.Day21.2","KRAB.Day21.3","SID.Day5.1","SID.Day5.2","SID.Day5.3","SID.Day7.1","SID.Day7.2","SID.Day7.3","SID.Day14.1","SID.Day14.2","SID.Day14.3","SID.Day21.1","SID.Day21.2","SID.Day21.3","KRAB.Day5.1.1","KRAB.Day5.2.1","KRAB.Day5.3.1","KRAB.Day7.1.1","KRAB.Day7.2.1","KRAB.Day7.3.1","KRAB.Day14.1.1","KRAB.Day14.2.1","KRAB.Day14.3.1","KRAB.Day21.1.1","KRAB.Day21.2.1","KRAB.Day21.3.1","SID.Day5.1.1","SID.Day5.2.1","SID.Day5.3.1","SID.Day7.1.1","SID.Day7.2.1","SID.Day7.3.1","SID.Day14.1.1","SID.Day14.2.1","SID.Day14.3.1","SID.Day21.1.1","SID.Day21.2.1","SID.Day21.3.1"
"NT-18",11368.9164279485,10969.1409217842,9742.42933477035,10099.9661351632,10059.4528353106,10275.9771469086,8993.08594107056,9253.02929685632,9169.8725014942,9818.77709833908,10101.4056386198,9938.36992501163,10164.5694999193,10989.4221768088,10672.7833392565,11806.9495493307,11106.693197841,12131.3021376325,10820.3723007806,9402.17476189083,12140.3227331395,9905.99367540233,9453.65881817843,13773.2032982036,7151.75884791222,7328.5630087633,7571.61033739979,5786.58683996552,7591.27323303167,7283.34290546595,5006.21340922257,7316.12625137068,7102.50523387248,5346.98764830976,6114.4469231733,6208.49281866446,6945.6819565052,7109.32885539562,7652.78849002626,6799.16918485191,7626.95152077479,7025.78966242731,6277.34811841852,6990.05250014321,5787.22773795925,6428.06767177073,7359.89830646164,6174.28106409625
"NT-19",7264.09886457146,5924.27664575247,5770.53535113904,5859.36787520771,6066.21659845956,5754.02291772048,5970.26325677107,6923.61067221256,5566.48777921342,5666.31156755735,6713.56233710648,4366.19081493333,7260.83754251135,6565.42233432783,6706.54628750579,6379.53899841811,5867.07811344037,6309.56787756069,5140.45067415506,5945.66512403208,5399.22012734128,4637.45369228931,5432.02810534162,4031.96817863102,7775.8510115272,8137.38842592438,7335.29173572268,7712.62225779479,7140.31614977613,6205.53879837906,7221.59939899273,6569.28131290268,5963.48596134362,8146.41167557189,7926.32182653212,6803.27450797472,8104.94229253641,7353.82330351107,7418.34689807587,8126.85439009663,7100.59474048306,8767.72098369028,7416.79388486216,6701.59697287392,8202.87642669489,6283.7641117922,6215.59965041175,6250.70725706046
"NT-2",5661.31571804668,6664.95818709481,6803.04174969425,5678.21984683425,6716.82291037894,5798.8055562221,6064.90968606612,5900.2442585638,5455.00291425181,6282.93265574555,7518.07158077269,6860.27724659483,6690.94622376773,6774.28562131396,6573.24575849378,6664.89913253893,5066.3157716182,5940.37084020041,5589.27281903827,5246.74930909086,3588.91668038973,8042.17895335844,5528.52384954202,3957.96970382321,4914.02298197742,5686.34504728436,5727.19543427045,5193.88807391141,5522.51978846415,4860.68518882323,4574.31476442794,4360.13429466545,5779.10448906644,4223.70778784095,3870.21189895726,5273.18025476454,5238.90164642515,5895.56030067366,5859.50247684513,5769.88011938125,4375.86291552052,5694.31342261136,4413.27306437341,4763.11190596178,5492.94540476112,4224.15875573505,3664.53939721972,4819.62679380559
"NT-20",10102.0300794577,10649.3546055221,10578.7510613642,10231.9729430736,9845.63855439811,9978.88256953194,9083.54447526406,8524.40117578948,8642.50061854539,10007.4183490276,10039.2813726996,10186.7521951606,10347.4975775408,9538.85517268535,10209.5093695754,10658.5490095761,9683.24849767649,8791.44513385148,9175.42808505096,9569.09460037539,8812.85031423515,8678.17260258668,10112.5590513044,5294.68574233876,9500.81926195131,11488.9115038103,10396.1354570466,9440.77732447721,9521.72018554242,8950.00077159407,7542.98280232521,7004.09462071285,9984.96588331812,8414.94576721521,8298.95905131762,10046.1197368839,10313.1356314822,8885.67201403371,9404.5668115178,9283.13943172114,9960.0488365917,8785.74096287576,8560.3982124972,9516.63526254065,6286.14348165939,8486.66391202384,10981.6880579732,5864.75498259119
"NT-21",7555.03309908916,7219.88150060844,6945.95213573506,6866.28111802831,7193.32330784102,6685.72025044932,7134.49809500224,6156.63370266852,5825.32655264602,7316.92251108217,6641.08402686628,6193.13478545081,7445.77581878794,7702.6944079721,7484.49691583817,6257.04294084429,7358.64737104346,6309.56787756069,7222.05682887204,6283.40935862658,5129.85331247759,7515.12866071095,6923.32597025687,4021.53249628633,6225.17877076133,5331.06659301734,4785.68706105486,5779.99082826063,5267.33457072559,4828.02445830544,4519.69228876273,5830.74490897883,3261.04272565973,4622.12111335098,5407.02501336607,3975.30786481901,5213.3781589131,4371.6240318376,4917.12414330032,4373.8124654383,4177.43476422007,4314.78390496747,4390.40097782071,4781.4899589457,4065.38375530661,6290.82792242052,6263.32018515579,4394.50609544217
"NT-22",6688.84253722965,6540.33557855149,5902.45263056133,6300.67530603244,6625.18821855931,6517.51229119933,7060.79114121494,5373.22151234854,6416.68105374671,6148.52576462996,5397.56330403086,6710.42678609171,6586.41589369835,5851.61483704555,6404.9811562983,5673.79466671443,6792.13789339614,5806.54877781533,5319.53734280304,5559.11391912046,5926.06992700114,4783.69297274457,4284.80092429244,4570.82886697512,7562.19783839775,7482.57999824607,6742.14146059686,7878.46483780357,6983.50385948641,6923.11426004921,6893.8645450015,7084.41045463957,7497.45252951946,5802.44252923423,8394.85215205248,8627.0881139307,6872.40484719641,6756.43395617398,7947.18563663936,5668.63857195791,6579.45975364661,6908.6597977217,4919.57788942637,5009.21800678987,8201.90198188297,4957.78594527623,5723.48163586379,12377.2219505541
"NT-23",5033.1622571562,5703.24786833602,5214.11503152452,5976.92138298198,5402.37416438846,6115.56080416039,5417.46110336634,6667.22122810784,5430.76707404277,5957.5264983078,5368.57197993478,4999.46296651158,5684.84179684997,6148.84336083351,5278.48242341813,5838.05074391568,4876.28411139473,5756.24686784079,5964.02825528312,4721.58630847861,4623.80021543588,5465.81579097549,3565.46901298038,5887.62223919627,5495.38451096651,5113.7420066306,4708.48337445118,4561.61323762792,4025.49811035667,4274.71325894533,4364.71689268936,3524.66498772659,3658.17205056443,3956.9288209796,3991.34002620131,4385.59708568581,4666.68152317111,4790.19219705789,4129.24666215559,3628.71019975247,4223.38654662649,4804.32667283965,4772.98860742952,4808.65751553061,3375.47682847126,5989.10229701088,4651.75795973713,3546.17535353942
"NT-24",7334.18756652345,6264.04960678094,6940.03277063278,5777.46584110269,5870.72925591101,6806.9610522464,6588.39657375999,5949.54992089163,6575.66816551805,7516.17483212196,6577.9243565141,6075.10188847917,6241.66682433493,7003.80571690312,6562.31948562395,7260.67541255703,6833.96876199879,6534.50283348456,5867.85208137958,6645.55707837965,6446.97781162724,6992.98572646801,5942.77325646292,6351.53575433758,7769.10406921785,8099.59284568321,8787.09764722112,7612.73979483495,8941.22251465624,9848.17086083314,7842.77127341796,9083.99776826341,9154.70375075638,8208.71860533227,8533.64479785295,7218.15309372817,7959.21141222567,8712.38954109752,7927.20045175179,8210.33426253343,7814.9360851647,7921.78307192752,9967.0315354883,7567.76260046368,7281.05163462393,8582.52991340817,7064.62749773286,7279.59487984116
"NT-25",8759.76531566018,9550.08914337116,9090.45354993328,7762.38572647153,8424.28266795139,8018.27681074146,6626.92520869426,7507.6088504511,8772.40472206587,7070.50987737025,6475.41931774582,7369.35826309858,8808.69050700021,7679.74239841318,9329.94440355359,7448.59550088049,7799.66424288284,8603.52479092775,7658.7187678594,7926.25197950099,8627.66062901637,10470.3398919243,5939.84914300231,13721.0248864801,9703.22753123185,9662.44008865568,9745.5531711546,10703.4424222713,9477.89066341175,8253.55872378837,11723.507625911,8538.40399986466,8264.43581360738,8983.60619657755,6875.7035562001,10708.8240265166,8510.8480778087,9810.63644719536,9683.59073898662,9220.08548551888,10268.1346504529,9519.55455970666,7140.24956563405,8523.4213556273,8354.88981735353,9376.7040511921,8045.88099340727,7433.40259318163
"NT-26",12086.9950158717,11159.6018895579,12169.369026706,11308.2620265479,11048.0893437202,10906.2108643582,10468.9001748571,10697.1373623692,10268.2407797681,10556.835991658,11510.5910705757,10501.848711424,10970.6591606467,12995.4278122581,11569.8303418701,10338.3888590991,11932.5540608247,11782.0360457338,10073.0723748174,11906.9484785656,10127.9941750402,12332.1916706064,10754.8893081535,7380.8735128822,10278.9666082965,8875.34713013327,9470.63272617564,8309.09017339456,8750.32059604266,8302.54981956505,7283.84361544843,7064.10070353167,9027.05503917987,7231.99166415899,6859.72137274429,8277.37850956773,8272.079968825,8381.64947859831,9044.83348354148,8443.90028860658,7740.78661809979,8594.52896151873,6735.82948977039,8608.12020850969,10519.1317446153,7839.82068163058,8562.85345313442,8536.80575410244
"NT-27",5697.02128319204,6024.20986958437,6013.22932033261,5453.71191805224,4950.30968474494,6424.67023576914,5365.53120410711,4061.69089442823,5297.9546696972,5819.5825837418,4475.01795511632,6310.1413094053,5730.07126659153,5261.74819138142,5163.75655828484,5445.50655941777,4832.06290744335,4787.2232813502,5678.81615336226,4319.4168730655,5635.9064095193,3949.44204397295,4256.53449417313,4147.70938281761,5096.1904243299,5768.55043430891,5166.05644383396,5310.73170982669,4362.49843607247,4856.84274993878,6714.7536364249,4826.33539964239,4917.20293226779,5839.30014965586,4620.53335383009,6989.60272237284,5317.94212388182,4428.593611981,5135.4238551492,4767.23356639042,3600.9487667577,5239.80950315539,5636.9296949429,4783.08805050951,4063.43486568279,5374.55077234708,4727.31547308187,4828.22474051407
"NT-28",3046.87489240354,3308.37755132912,3016.33933140577,2435.86284961768,2712.38687786107,2745.94032178232,3018.63478919794,2818.09252238182,2221.94183036523,2754.16226005285,2553.30732931903,2390.42275692989,2632.35513895864,2765.71715184934,3151.13709566092,2444.35314885931,2738.12914196209,2257.89139300795,1618.4128574114,2185.57613080083,2063.82515505855,1463.37427623352,2292.50495312462,2663.94509308139,3370.0976835209,3658.61216734547,4007.05963640556,3258.42978221801,2729.11824466958,2777.1227037328,2682.85275825376,2101.13606916337,2883.5516640745,2224.62066116285,2230.77634341114,4454.4375589856,2774.65009405198,2919.69098234945,2928.59824698675,2485.74641436788,2821.85718323066,2623.90919139669,1571.93613034926,1990.42304273625,2484.83427038156,1484.40934775114,2254.79526665608,4901.78495124212
"NT-29",10394.2867423142,9456.03434447055,9988.50579830808,8658.49033491474,10304.8301767387,9922.08507679818,9215.88196047307,10264.3432152694,10221.7079665668,8558.4177421762,11057.0839293584,11323.9734981569,8812.71090431057,11043.3593992723,10150.5074960783,9823.3486170274,8920.73152143388,8519.05554587617,9997.90019291577,9967.35947816313,10631.076314565,11039.5934668508,8198.23943908638,9452.83080750107,7098.9077998223,6890.1342779657,6140.51761011209,7145.36525117384,6123.47123634464,5525.42711583225,6649.9688397057,6249.86431820562,6155.50453602282,7107.37780463823,6008.45981183476,5818.39680329894,6350.40836065963,5951.7386366484,5891.78623704814,6885.31330853669,6691.2061335895,7153.93173663516,5253.30242503624,6798.28151248496,5842.77109223836,6033.50339238889,5599.20940996784,7479.25830896016
"NT-3",5593.87187277212,5698.54512839099,5088.96274079055,5529.83263210279,5424.77375572214,5024.39358798675,5413.27320826479,5167.23341195671,4880.12878449327,5741.76806783277,5677.12250067162,4499.61930716214,5018.4609426577,6016.86930586974,5022.80763826395,4755.07423491081,5329.25265997772,5308.27514127511,6024.82928476238,3811.82438176741,5068.45352379543,6087.08736499012,2762.31251579727,5347.8128524572,6095.86237649877,6360.05126508326,6132.04403475315,6376.45874386039,5892.63575312312,5935.60746674678,4396.47414598308,5440.24378540409,6452.26051507248,5146.90342316375,5491.14176839666,7618.34571184433,6353.70171388699,6000.79577510522,5617.37427532261,5712.15467567496,5797.2350940464,6651.37453935125,5766.88473217416,6118.29355208008,5814.51219269285,6439.16794561523,5591.2559875105,4120.32712818306
"NT-30",15009.5616444358,15580.1774378868,15772.5711268238,16073.9968581179,16884.2010493882,16697.3706042507,15648.4888364554,14904.5538810108,15662.1693766931,17467.000805943,15752.6430284914,18256.0968559519,14971.9595837831,17317.2912122019,16220.0520752726,16982.4079818243,16020.0275071409,17671.1558833187,17926.3544370104,16988.7302279846,16367.9952796582,19135.7533626592,16420.8464903446,16031.105478237,11998.3124067961,12633.1726956118,13723.4260479905,12441.9626502043,12128.1157682461,13165.1562278305,11844.1851884271,13292.7321001245,14147.1866924154,13307.3560969915,13357.7406988571,13532.2013047857,13315.0270982222,11732.5685328666,13047.2510877567,13160.5130812853,11836.7614044176,13333.7834872997,12663.8584681113,11968.1077214386,13145.2605127244,10384.8107394337,13582.4572015236,13629.6561877551
"NT-31",8303.52753880288,8247.43017859765,7579.32420167925,7196.77991447565,8360.13838367765,6463.99157689252,7260.13494804877,7429.81547211163,6483.57197272367,7915.85848201832,7443.52246166849,5946.80526133609,7867.91753637581,8856.03288830761,8070.14514166142,7520.97953490138,6825.60258827826,7264.35507443585,6286.8264481548,6224.84099424604,6693.5672855282,8311.10219392717,9438.06354638847,6800.27009515934,7270.95482871076,7318.16922419697,7388.01620462275,6739.2393876296,6828.63954795805,5186.33188427996,6159.63684885061,6049.53631864127,4959.75250279329,5856.85139747568,6351.65617235955,5106.12737289036,6563.65298213128,6905.18785988176,5942.51786022429,6380.88173891862,6708.96023133743,5501.09920134484,5803.27214259891,5527.79871924905,5113.88637292644,6409.90358729791,4849.59934336348,5635.47640369855
"NT-32",19042.9680775221,20854.3002862388,18910.6802546193,20158.4994766026,21264.3393183665,20240.6603432571,20972.141089547,20762.0665655572,19487.5543952888,19617.5110637925,19985.376346519,20488.4581682415,20086.9100618895,19960.215112911,18627.1099884977,19496.361163396,18822.6957035185,19689.8759307873,21019.4686276095,19235.803141385,19706.3612094578,18487.0005815791,17553.4531040907,20177.8661626596,18174.0136006222,17561.7163590607,18358.4717693308,21568.0159876194,17958.4162010056,16709.8060987312,20686.6747955315,16640.1483509093,17293.672882045,21517.8298271058,14843.2425926972,14490.4606931188,18617.325794274,17508.6509640728,19824.5347475158,16988.1540408872,18146.776615772,20952.2302429383,18440.0999629661,19610.1815796199,23330.1576868531,19588.955988134,17777.8875477708,26754.8995019464
"NT-33",5976.05366266128,6576.78181312548,6044.5173930161,5735.06949403656,5397.28334817625,6159.25118318636,6354.71202709345,6136.91143773739,5913.54501100694,5872.63793549795,5847.9642319521,7270.82645345269,5651.6735190395,6130.48175318637,5492.63737166693,6763.73117899053,5605.33639275521,6154.86577707297,8071.06029505507,5282.86646712554,6344.97493688107,5842.70091644408,5705.92006615286,4526.24004241144,7369.90998258124,6267.45209349238,7073.55240796874,6287.88372953752,5901.40165754925,5479.31784921891,5745.52226590046,6023.68754450394,5773.64941592215,7140.7251754959,5728.35101758291,5410.86120136413,5101.40414918281,6606.09756412889,5645.04606978233,6295.62569898318,5858.85225681865,6130.79736288186,5342.71149065134,4945.29434423712,5593.3132203883,4192.87616580964,5433.18171617086,4643.84654998791
"NT-34",7979.53259581726,7143.46197650169,7127.76120673373,7642.90511201243,7281.90350993333,6722.8570726214,6699.79458346125,6897.31431897105,7027.42422701464,7527.96491028999,7415.56654200441,7607.47680307614,7173.39390101101,6277.37461436343,6950.20217250315,6790.17919142124,6661.86461689074,7178.93673674324,7475.21020615839,6556.72839240248,8040.40135984664,7722.2191853825,5561.66380209569,9864.56591091892,7033.68735749857,6647.29767491616,6977.51855390075,8157.38190418198,6399.1102310775,7304.4763193304,6248.55715807304,7156.41775402215,6650.82517752483,6540.47250005788,5443.19521802922,5289.70196835649,7270.0772494003,6898.06666236383,6930.24719024475,7707.67886041402,6999.29194745073,6931.68532668092,7170.3991342717,5848.21607779471,6113.66674995055,8294.93190925517,6241.4482733981,6781.86929816173
"NT-35",5297.64792489956,4915.53892754338,5068.66777472559,3754.96737537978,4031.92644006376,4330.80882094945,3425.6981930687,4064.97793858342,3906.81744169803,4046.35482726942,4875.71947030142,4182.47004486444,4971.22127426096,5374.2130382201,5057.77171144743,3683.23373113993,3929.71131330046,4277.56053311763,2872.01953794728,3861.60749149088,3748.3580671289,2713.76919771004,4855.00304911298,4910.4628923751,6149.83791497357,6482.88690086707,6455.92291513932,4958.31622730802,5457.26249995849,5969.22880698568,5330.13739281855,4703.55372249005,4155.67472132416,5991.99600568834,4962.88854680458,6145.15958322865,6228.55429124725,4531.45535390659,5208.44664608456,5507.00732958029,5982.08658236314,5722.34450134433,5447.71516073419,6152.65252070218,4729.95511703219,5684.3493241891,6641.10775187947,4451.82574016533
"NT-36",9180.29752737212,9434.87201471791,8419.02842261728,8148.77061677876,7675.93268475774,7613.04854527557,7843.08994618466,7730.03217161887,6775.37148884057,7606.95843401582,8426.12126763919,8568.16194712353,8523.2422979646,6851.17485333633,8358.5987454251,6926.59525553753,7723.17351172371,7295.6751315898,7112.61497580938,7702.71605544856,8635.58318239471,8320.91691073625,7411.6529181801,8636.00148943017,6853.76889591588,7543.05292663195,7838.05720701981,6839.12185058944,7084.79875507728,5825.13734881898,6411.1542949369,6946.85804940875,4821.19364492819,6599.26918025429,6296.98028158967,5030.86178874925,6249.13774891826,7686.93709851625,7497.51897666895,5931.51136175887,5105.86964056798,6834.57766107029,5036.01760278558,4711.97297591958,5644.95879541976,3348.24623782344,3495.52917000123,8644.75775166439
"NT-37",7232.36058444226,6098.2780237186,7032.20574151118,6552.16272840198,6860.38392756303,6010.70389449806,6657.91563244574,6348.37794505453,6922.72539731157,5953.98947485739,5258.81911014247,6739.16523057176,6553.24761588788,6276.22701388549,6870.44038055334,6108.09887083977,7212.83691477137,5914.74533889263,6240.39657109791,7186.33830949338,7682.89613864887,8028.43834982573,7466.23636944497,7486.1790347241,6285.90125154549,7212.34159952169,6405.08146298567,6378.34331863322,7229.92317279883,6542.71281048913,6310.80137452874,5557.486439527,6515.53936354631,6756.35284824173,5846.95564217603,5007.91496431598,6423.68546996842,7511.28089307408,6727.32069754016,5942.1683667508,5595.67386667278,6425.12368957801,4716.84803134562,6014.41760043186,5703.42548413461,5107.13508427499,5555.46558645247,8168.04937305011
"NT-38",9341.63378469558,10157.9182812664,9756.80493573304,9243.36721375885,8821.36633250312,9336.63399785016,10450.4734364103,8666.83975584766,8374.93694263753,11046.1242356315,8622.84810971973,9252.75274955901,8938.34832025934,11221.2374733539,9454.50391426973,9181.63631541912,8614.76859679735,8362.45526010638,8612.74219405205,7352.28200857161,8363.24541001415,9901.08631699779,7219.63613426618,8044.96238936261,11229.1609835301,10850.1661977345,10502.5259032199,10169.1654741749,9887.94019267866,9776.1251317498,11621.8844153711,10075.4828905312,8421.54192016309,11398.6578965855,9936.71227176313,7539.40863579389,11196.5776347219,10595.5506625045,9050.21411024198,10323.0855021837,9606.01124032405,9309.3214692094,10156.246069697,10675.2516463092,8128.8186209894,10687.5454806474,14111.3597949367,8897.91951585834
"NT-39",11821.1869197896,10578.8135063466,11327.1279350099,11418.1071075829,10848.5293482018,9871.84114091831,11292.240351822,11626.2751769026,11236.7049545215,10192.5225762658,11206.1821675668,9630.45801986824,10647.0171771626,11171.8906528022,9764.81006377309,11328.1013242694,11166.4515815591,10235.9641334976,10000.1111394423,10631.134274476,12093.7777320418,12563.8189873006,10942.0325696331,9114.14548049606,11201.0487239078,11437.8874704847,12147.3410312276,10351.0269397527,10855.1116476954,10345.7666963688,10463.379815216,10921.107073024,10823.9561329107,9219.6704797542,10304.3024912468,11481.673073429,11958.1655685493,11698.5450336143,11051.8072428282,11819.5066198007,10477.0063886639,10251.3659366281,11436.0432763504,9968.89517510135,10439.2272700383,12049.851816109,9532.17681512281,8782.32489899997
"NT-4",12921.447297602,15566.0692180517,14353.6147494481,13560.0861877649,13753.3490788841,14027.8884457639,13467.4330675676,14060.8792145124,12677.2832965472,11642.702190934,13280.0972448686,13512.2007707093,14327.6909147978,13977.7738213796,13399.9810475678,13182.2461957276,13618.9356493488,14425.2590509995,10911.0211083678,12470.1809160253,12710.7465763803,10761.8369811539,11340.686704764,13514.2086363762,10696.1525410914,11092.057911278,11226.5458422227,11578.8274042495,10889.2012760193,9889.47707884093,9434.44480849938,10724.4717554793,9431.82146648658,9557.53200028584,9896.33622934844,9527.52150469206,10956.9861874314,11188.9837889983,10767.4026886589,10039.7867861482,11453.4817648004,11257.4814411506,11563.919032986,11069.9802625725,10591.2406606969,10358.5737285285,15284.4896073945,9009.6928230685
"NT-40",12723.0830467945,10817.4775585569,12627.6970103399,12293.9770958354,12010.2536078263,13874.972119173,11083.6831757648,13719.0266223728,13029.1876963825,12440.8904829099,15254.613496698,12158.4147610955,12813.0062281194,12896.7341711547,12313.909524306,11637.1254695124,13034.498656586,12294.5460718895,12113.7760187938,11545.7768982189,11009.378238381,12964.259433111,12581.485516553,16584.1966425056,6487.18503044113,6171.0733638774,4925.03030029076,5369.15352778432,6370.86453903774,5388.05992571334,5443.19321454421,5934.14000552817,3771.63757196577,5531.27575041793,6110.24108542177,4440.66946432565,4563.76423481606,5695.37552600308,6837.23921442181,5213.93969230219,6343.43468946818,5989.64085926227,5751.2901277064,5232.15177994258,5748.24994548267,6336.23813360258,7119.30727712708,6684.42590213236
"NT-41",5207.72279786681,4042.00498275392,4783.69262623,5033.60266076058,4495.19071537411,3299.71587593651,3674.45916210082,4090.17861043986,4164.68678152226,4205.52088253788,4258.61842882772,4013.11849703558,4505.86028558671,5272.07659568293,4373.78702979565,4446.05008966778,4597.81004326851,3126.31115954948,4375.46317597972,3370.6093701006,4050.40541467825,4537.34358083672,4069.39123269357,5327.89018616278,6315.13800155268,6222.09739720298,5797.80856226162,6493.30237977567,5552.71345926527,5778.06747248453,5016.37573027657,5388.54623712942,6022.40075130201,4923.12501346098,5183.27444498471,6371.87420862932,6243.37438077038,5830.67827884367,6210.7805342921,6247.66917651949,5385.75776977072,6270.95275654669,5955.05962608501,4918.92583343411,5758.96883841373,5413.90628870486,5181.65473095746,5391.86791362513
"NT-42",8652.64862022412,8038.15825104378,8358.98914800841,8295.23072482539,7719.71370418268,7085.48721853696,8196.54829275557,7758.5198876305,7205.80001095321,8033.75926369867,7145.32598525167,6657.05538920019,7966.41727047965,6999.21531499133,8254.79915316166,9032.6922454146,8024.35576566279,7860.38525300205,8823.88758733455,8710.09192279401,6663.85771035941,8251.2324213918,10673.0141312562,8440.56962006594,6941.47914593744,6448.87087865001,6562.31336131268,6265.2688322636,7148.10806482158,8212.25250578059,6501.34489429108,6394.80208747567,7465.81310528255,6429.89963879298,6316.3271352467,6277.33329196426,6948.97530973256,6527.76439143171,7512.12353485603,6753.8769136362,7408.68055434429,6440.14033889924,6857.46740461884,6396.36148418454,7689.34401081603,9625.95565479137,6024.71751143557,9853.24692791098
"NT-43",7502.13596554049,7030.59621782095,6705.79503729962,6556.01694177163,6454.13679382933,6796.0384574899,5867.24103727291,6927.99339775281,6553.37119252572,6259.35249940948,5961.85871947241,7334.46158051566,7488.99508987432,8009.10373558362,7508.53471615181,6830.54721039443,6053.52427064076,5427.86081404476,7238.63892782093,6747.07557663927,7350.14889675844,6493.41664088594,6638.71226009004,5485.37411972814,7538.58354031502,7079.11217917156,8214.66055630604,7823.81216939158,7284.46657811699,7379.40387757708,6793.51162459333,8567.02228551671,5814.01695718993,7532.995564269,7825.38172049542,6908.82990036774,6413.80541028633,6939.21135913407,7565.92980186103,8031.82942891858,7302.15596785668,6784.52216333284,7110.0999969964,6673.63037050709,8046.9652567886,8066.87173754085,6356.77289902954,7979.84987287574
"NT-44",4702.55517247699,4641.60432574533,4582.43421275241,4816.80315871787,5167.17845538474,5245.03000206791,4646.88840468096,4911.93964923705,4530.16325187466,3360.17227788982,4893.32134564547,5302.24300656925,5475.78113671122,5718.49318160384,5184.51647673753,4024.27389143067,3947.63882841588,4488.25909942607,3796.19518603193,4281.34743621815,4882.27351940435,5081.07889205963,3713.62409498503,4945.56473298907,4423.74517416457,4663.97460176065,4625.6306376082,3912.377228389,4722.87450692463,3362.13402388958,4459.98865257053,3200.632140505,3367.96215928792,4841.51171109879,3170.36049710279,2905.06797325148,3812.05636067082,3487.80429544618,5188.46146119699,3869.38089582024,2756.06258569419,4713.22566695751,3293.58046358892,2962.86175931996,4766.98401988494,2211.98184246804,2542.11265292752,4147.07629572053
"NT-45",6645.20240205199,7549.07329676059,7569.17671864677,6897.1148249855,7420.37371090521,7643.63181059375,6346.33623689035,7654.43015604953,7781.64357432012,7893.45733349906,6616.23432049821,8461.41915334048,6921.11396978588,7947.13330977455,6750.25137898514,7927.44372594177,7607.24224731065,7418.10808228254,7966.04033504545,7811.06752955258,7288.74910807627,6892.87561501541,8723.60515751077,9077.14624309215,5633.69682830821,4629.9585795436,5048.36789718201,4604.01617001653,3669.01799702724,4544.64459057761,3681.30080180843,4129.34166843925,3648.3529189047,3311.92046360102,4246.21379394398,3674.24552825456,4473.19702106363,5079.78756278686,4037.77600824708,3705.08540219464,3085.03557337652,3564.9525488606,4062.91428399794,3210.56595171187,2688.49323607166,4887.14783899304,2853.29030657097,2554.54549982877
"NT-46",6795.95923266571,7499.69452733776,7154.82116148702,8092.88452291886,7291.06697911529,6544.81877809057,7691.48814350852,7629.22948419308,6894.61182266908,7440.71833184653,6683.5356085784,6005.30852331334,7035.69529313116,7408.90868561798,7088.96583795008,7864.80369650061,6731.1843420037,8113.79298815679,7919.61045798857,8133.1935336456,6707.4317539403,9310.2403650913,8096.87017245162,4957.8978121237,7236.09562677911,7538.3284791018,8179.82474649707,6985.17639548354,8017.88058177017,7093.14218068591,8571.91780904185,8866.12952910587,7467.99513454027,7485.60719515547,8037.35594317249,9367.81160663653,7875.23090492795,7432.15647620825,6835.70189250738,7390.63296190408,7682.30253140071,7508.32466061625,6863.70524640594,7325.65172854514,7530.509506474,7064.81974412353,7205.80074635066,7554.72917451232
"NT-47",7514.03782058894,8835.27267172649,8052.02778627578,8997.66111144378,8730.74980392594,9100.70595110991,7547.42455201516,11002.8324688018,8776.28245649932,8275.45586614337,8455.11259173527,9286.62305912478,8705.16527625842,8333.87467084228,8010.05064087731,8750.11611260228,7621.58425940298,7664.87216895008,8230.24844496439,8410.41712504686,7988.9047628874,7873.3658242423,9754.8425046221,7903.60632851178,8485.40444439396,8191.24712776805,8457.56971659567,9093.07327889062,8652.92165797451,7289.10656379262,7634.44369181113,6579.43618845664,7357.8026570255,7544.40387535188,6134.63494438064,7068.53979842327,7643.04950239898,7469.34495213519,7984.08136258565,9044.24490315202,8320.40569163532,7856.71092486884,7987.55640838183,7557.37500529886,6467.39021667546,9680.44790820983,9334.33543149646,6362.48056427062
"NT-48",10158.8944980226,10736.3552945052,9768.6436659376,9913.03678673523,10733.4769018061,10411.4173218891,9673.20010556244,10412.2602022529,10607.5425426947,12278.1874041911,10013.3962618996,10376.6312033324,11240.0257804408,10889.5809352275,9061.15809095561,10643.2370023794,10189.9995916057,10505.5064435498,10697.6647685588,11238.292985221,9191.15223805107,10828.5770554557,10952.7543189887,13166.9850238165,10232.8625025159,11618.3613661363,10829.2293087257,10708.1538592034,10125.593601565,10248.7451145366,10002.2644973912,9124.61727047922,8972.50430773691,9132.79180304607,10642.4518464697,8929.98619644981,12753.510372957,10041.6797444436,10481.4608125751,10636.5790656964,11882.713186824,10324.4469633247,12229.28882361,8896.57573577897,10135.200488721,13468.6686365972,7915.64370066832,10449.3712330318
