"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LSM5-2",13370.6377164677,0.0281752983297505,0.00612806221143799,21.6567220087294,3.26065343327764e-06,0.000507575609996078
"NEDD8-1",12790.3553867181,0.029594943887768,0.00500288619799109,35.9871912481884,1.98618881844953e-09,1.77565280369388e-06
"PHB-1",26001.9179872561,0.023065357881289,0.00395679963577902,34.2303671356071,4.89589793891254e-09,2.18846637869391e-06
"OR2C3-1",19321.543435039,0.026343244067758,0.00566895272176845,21.7912984611895,3.03975621392759e-06,0.000507575609996078
"OR4K14-2",14718.3377927771,0.0343152947667919,0.00764150682396044,21.2772000726854,3.97430567111023e-06,0.000507575609996078
"CHEK1-7-NT-3",7223.11236477459,-0.0399363919419631,0.00779936766554634,25.4242458994738,4.60098983249605e-07,0.000137109497008382
"NT-CHEK1-4-1",11161.3050112998,0.034212586589409,0.0074328761501518,21.2948655669652,3.9378481822535e-06,0.000507575609996078
